Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
25-34,Expat – Arab,Self-employed,"10,000–20,000",15443,Investor,Neutral,"500,000–1,000,000",725461,Apartment,Business Bay,Self-use,Agents,Not very important,"Rental yield,Developer reputation","Gym,Shopping mall",2–4 weeks,"Too many listings,Fake listings,Confusing legal process",No,Yes,Maybe,Daily,Agent,Physical visit,No,5,No
55+,Expat – Asian,Homemaker,"40,000–60,000",58774,Renter,Unlikely,"500,000–1,000,000",541367,Apartment,Dubai Marina,Self-use,"Property portals,Agents",Somewhat important,"Rental yield,Location,Mortgage eligibility",Swimming pool,More than 3 months,"Lack of analytics/data,Not enough info on returns,Fake listings",Yes,No,No,Weekly,Family,Physical visit,No,4,Yes
25-34,Expat – Arab,Employed,"40,000–60,000",36324,First-time buyer,Neutral,"Below 500,000",321014,Apartment,Downtown Dubai,Self-use,Agents,Very important,"Price per sq.ft,Resale value,Community amenities","Gym,School nearby,Parking,Close to metro",More than 3 months,Confusing legal process,No,No,No,Weekly,Family,Online photos only,Yes,1,Maybe
25-34,Expat – Asian,Employed,"40,000–60,000",40756,Other,Unlikely,"2,000,000–5,000,000",2956668,Villa/Townhouse,"Jumeirah Village Circle,Dubai Marina,Business Bay",Rental income,"Property portals,Agents",Somewhat important,"Community amenities,Location","Shopping mall,Parking,Gym",Less than 1 week,"Fake listings,Confusing legal process",Yes,No,No,Rarely,Family,Physical visit,Yes,2,Maybe
45-54,Expat – Asian,Employed,"10,000–20,000",18226,Investor,Likely,"2,000,000–5,000,000",3557908,Apartment,Jumeirah Village Circle,Flip/Resell,"Social media,Property portals,Agents",Neutral,"Location,Rental yield",Gym,1–3 months,"Not enough info on returns,Confusing legal process",No,Somewhat,No,Monthly,Self,Physical visit,Maybe,2,No
45-54,GCC National,Homemaker,"40,000–60,000",45024,Developer,Very likely,"500,000–1,000,000",1103179,Villa/Townhouse,"Dubai Marina,Jumeirah Village Circle",Other,"Property portals,Friends/Family,Agents",Somewhat important,"Mortgage eligibility,Location,Community amenities","Gym,Security,Parking,Other",More than 3 months,"Not enough info on returns,Too many listings",No,No,Maybe,Daily,Self,Online photos only,No,1,Yes
25-34,Expat – Arab,Student,"10,000–20,000",9069,Investor,Neutral,"Below 500,000",421077,Apartment,Business Bay,Self-use,"Friends/Family,Company recommendations,Agents",Neutral,"Price per sq.ft,Developer reputation","Parking,Gym,School nearby",2–4 weeks,"Too many listings,Lack of analytics/data,Fake listings",No,No,No,Monthly,Family,Physical visit,Yes,1,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",31055,First-time buyer,Neutral,"500,000–1,000,000",544923,Apartment,"Dubai Marina,Other",Rental income,"Property portals,Agents,Company recommendations",Very important,"Mortgage eligibility,Location",School nearby,Less than 1 week,"Other,Fake listings",No,No,No,Weekly,Self,Physical visit,Maybe,5,Maybe
35-44,UAE National,Business owner,"20,000–40,000",24792,Other,Unlikely,"Below 500,000",1078427,Apartment,Palm Jumeirah,Self-use,Company recommendations,Somewhat important,"Location,Price per sq.ft","Swimming pool,Close to metro",1–2 weeks,"Fake listings,Poor agent response",No,Somewhat,No,Monthly,Self,Physical visit,No,4,Maybe
18-24,Expat – Asian,Homemaker,"10,000–20,000",18575,Renter,Likely,"5,000,000+",5550274,Apartment,"Downtown Dubai,Business Bay",Self-use,"Social media,Agents,Property portals",Very important,"Mortgage eligibility,Resale value,Price per sq.ft","Swimming pool,Parking,Close to metro",2–4 weeks,Confusing legal process,No,Somewhat,No,Weekly,Family,Agent video call,No,1,No
18-24,Expat – Arab,Self-employed,"40,000–60,000",23283,First-time buyer,Unlikely,"500,000–1,000,000",1009162,Apartment,"Business Bay,Dubai Marina",Rental income,Property portals,Neutral,"Location,Community amenities,Developer reputation","Shopping mall,Gym",1–3 months,Lack of analytics/data,No,No,No,Daily,Agent,Virtual tour,No,3,No
18-24,Expat – Asian,Self-employed,"20,000–40,000",23416,Renter,Unlikely,"500,000–1,000,000",1796026,Villa/Townhouse,"Dubai Marina,Jumeirah Village Circle,Business Bay",Rental income,"Property portals,Agents",Somewhat important,"Developer reputation,Rental yield",Shopping mall,More than 3 months,"Confusing legal process,Too many listings,Poor agent response",Yes,No,No,Daily,Agent,Physical visit,Maybe,3,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",27444,Investor,Neutral,"1,000,000–2,000,000",1187588,Land,"Jumeirah Village Circle,Arabian Ranches,Other",Rental income,"Property portals,Social media,Other",Somewhat important,"Price per sq.ft,Rental yield,Location",Security,2–4 weeks,"Lack of analytics/data,Too many listings",No,No,Maybe,Weekly,Social media influencers,Physical visit,Maybe,3,Yes
25-34,GCC National,Homemaker,"20,000–40,000",35841,First-time buyer,Neutral,"Below 500,000",393296,Apartment,"Arabian Ranches,Jumeirah Village Circle",Self-use,"Property portals,Agents,Company recommendations",Very important,"Other,Location,Rental yield","Parking,Gym",1–3 months,"Lack of analytics/data,Poor agent response",No,Somewhat,No,Never,Agent,Physical visit,Yes,4,Yes
35-44,Expat – Western,Employed,"10,000–20,000",20307,Renter,Likely,"2,000,000–5,000,000",3950530,Apartment,Dubai Marina,Self-use,"Agents,Property portals",Somewhat important,"Rental yield,Developer reputation,Location","Shopping mall,Gym",Less than 1 week,Lack of analytics/data,No,Yes,Maybe,Weekly,Agent,Virtual tour,No,3,Yes
25-34,Expat – Asian,Self-employed,"10,000–20,000",18597,Renter,Very likely,"500,000–1,000,000",956949,Other,Business Bay,Self-use,"Friends/Family,Social media",Not very important,"Location,Rental yield",Parking,More than 3 months,"Not enough info on returns,Fake listings,Lack of analytics/data",No,Yes,No,Monthly,Self,Online photos only,Yes,5,Maybe
18-24,Expat – Arab,Employed,"40,000–60,000",45946,Investor,Likely,"2,000,000–5,000,000",3207050,Apartment,"Business Bay,Downtown Dubai",Rental income,"Agents,Property portals",Very important,"Price per sq.ft,Location,Community amenities","Swimming pool,Security",1–3 months,"Lack of analytics/data,Poor agent response,Not enough info on returns",No,Yes,No,Daily,Family,Virtual tour,No,2,Yes
45-54,Expat – Asian,Business owner,"10,000–20,000",16198,First-time buyer,Very unlikely,"1,000,000–2,000,000",1371005,Apartment,"Dubai Marina,Palm Jumeirah,Business Bay",Self-use,"Property portals,Friends/Family",Somewhat important,"Price per sq.ft,Community amenities,Rental yield","Other,Swimming pool,Security",1–3 months,Too many listings,No,No,No,Daily,Friends,Physical visit,No,3,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",14537,First-time buyer,Likely,"500,000–1,000,000",929368,Apartment,"Jumeirah Village Circle,Palm Jumeirah,Business Bay",Rental income,Social media,Very important,"Community amenities,Location,Mortgage eligibility","Swimming pool,Gym",1–3 months,"Too many listings,Fake listings",No,No,No,Daily,Self,Physical visit,Yes,2,Maybe
35-44,UAE National,Employed,"20,000–40,000",24875,Renter,Very unlikely,"Below 500,000",340817,Apartment,"Palm Jumeirah,Downtown Dubai,Dubai Marina",Self-use,"Property portals,Company recommendations,Friends/Family",Very important,"Community amenities,Price per sq.ft","Security,Swimming pool",1–3 months,"Fake listings,Poor agent response,Not enough info on returns",Yes,No,Yes,Weekly,Friends,Physical visit,Yes,4,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",25785,Renter,Likely,"1,000,000–2,000,000",1603455,Apartment,Business Bay,Rental income,"Property portals,Friends/Family",Very important,"Community amenities,Location",Shopping mall,Less than 1 week,"Confusing legal process,Too many listings,Fake listings",No,Somewhat,No,Monthly,Social media influencers,Online photos only,Yes,5,No
25-34,Expat – Asian,Employed,"10,000–20,000",16309,Renter,Very likely,"1,000,000–2,000,000",1214390,Apartment,"Arabian Ranches,Palm Jumeirah",Self-use,Agents,Neutral,"Resale value,Price per sq.ft,Community amenities","Close to metro,Swimming pool",2–4 weeks,Too many listings,No,Somewhat,No,Rarely,Family,Virtual tour,Yes,5,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",14133,First-time buyer,Unlikely,"1,000,000–2,000,000",1798238,Commercial,Palm Jumeirah,Rental income,"Friends/Family,Property portals",Somewhat important,"Location,Rental yield","Gym,Swimming pool,Parking,Security",1–3 months,"Too many listings,Fake listings",Yes,Yes,No,Monthly,Online reviews,Virtual tour,No,2,Yes
25-34,Expat – Asian,Employed,"60,000+",90576,First-time buyer,Neutral,"Below 500,000",404110,Apartment,"Dubai Marina,Arabian Ranches",Rental income,"Property portals,Social media,Friends/Family",Somewhat important,"Developer reputation,Location,Community amenities","Shopping mall,Swimming pool",2–4 weeks,"Fake listings,Other",No,No,No,Monthly,Self,Physical visit,Maybe,5,Maybe
35-44,UAE National,Employed,"60,000+",108043,First-time buyer,Very likely,"1,000,000–2,000,000",1240070,Villa/Townhouse,Business Bay,Self-use,Property portals,Somewhat important,"Rental yield,Developer reputation",Shopping mall,More than 3 months,"Other,Not enough info on returns,Too many listings",No,No,No,Daily,Family,Agent video call,Yes,3,Maybe
18-24,Expat – Asian,Employed,"Below 10,000",5518,Renter,Very likely,"500,000–1,000,000",818219,Apartment,Downtown Dubai,Self-use,"Property portals,Agents,Social media",Somewhat important,"Developer reputation,Price per sq.ft,Mortgage eligibility",Close to metro,2–4 weeks,Poor agent response,Yes,Somewhat,Yes,Rarely,Self,Physical visit,Yes,4,No
25-34,UAE National,Student,"20,000–40,000",26011,Other,Unlikely,"500,000–1,000,000",682160,Apartment,"Business Bay,Jumeirah Village Circle",Vacation home,"Property portals,Company recommendations,Agents",Neutral,"Mortgage eligibility,Resale value,Location","Gym,Parking,Security",2–4 weeks,"Poor agent response,Lack of analytics/data,Too many listings",No,No,No,Weekly,Self,Physical visit,Maybe,4,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",18019,First-time buyer,Neutral,"1,000,000–2,000,000",1275804,Apartment,Business Bay,Self-use,"Social media,Friends/Family,Property portals",Somewhat important,"Community amenities,Rental yield,Price per sq.ft","Swimming pool,Security,Parking,Gym",1–3 months,"Other,Fake listings,Too many listings",No,Yes,Maybe,Daily,Online reviews,Virtual tour,No,3,Maybe
45-54,GCC National,Self-employed,"Below 10,000",8006,Renter,Very likely,"500,000–1,000,000",814487,Villa/Townhouse,Dubai Marina,Flip/Resell,"Other,Social media",Not at all important,"Rental yield,Community amenities","School nearby,Shopping mall,Gym",1–3 months,"Not enough info on returns,Other,Too many listings",No,Yes,Yes,Weekly,Family,Online photos only,Maybe,3,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",30797,First-time buyer,Unlikely,"500,000–1,000,000",835186,Apartment,"Arabian Ranches,Palm Jumeirah",Rental income,"Property portals,Agents",Somewhat important,"Resale value,Rental yield,Mortgage eligibility",Shopping mall,1–3 months,Confusing legal process,Yes,No,No,Daily,Family,Online photos only,No,4,Yes
25-34,Expat – Western,Employed,"10,000–20,000",15565,Renter,Likely,"1,000,000–2,000,000",1049227,Apartment,"Other,Arabian Ranches,Palm Jumeirah",Rental income,Property portals,Neutral,"Mortgage eligibility,Location","Gym,Parking,Shopping mall,Security",1–3 months,"Confusing legal process,Too many listings,Lack of analytics/data",Yes,Somewhat,Maybe,Weekly,Social media influencers,Virtual tour,Maybe,4,Maybe
45-54,Expat – Western,Business owner,"40,000–60,000",52298,Renter,Unlikely,"500,000–1,000,000",918635,Apartment,"Downtown Dubai,Palm Jumeirah,Business Bay",Rental income,"Company recommendations,Property portals,Social media",Somewhat important,"Price per sq.ft,Community amenities,Rental yield","Shopping mall,Gym,Parking",Less than 1 week,Confusing legal process,No,No,Maybe,Rarely,Friends,Physical visit,Yes,2,Maybe
35-44,Expat – Western,Self-employed,"10,000–20,000",14041,First-time buyer,Likely,"1,000,000–2,000,000",1455829,Apartment,Business Bay,Self-use,"Friends/Family,Social media,Property portals",Very important,"Resale value,Community amenities,Mortgage eligibility","School nearby,Security",More than 3 months,"Too many listings,Not enough info on returns",No,No,No,Rarely,Social media influencers,Virtual tour,No,1,No
25-34,Expat – Western,Retired,"40,000–60,000",57278,Renter,Very likely,"5,000,000+",9885011,Apartment,Business Bay,Flip/Resell,Property portals,Very important,"Community amenities,Resale value,Rental yield","Gym,Swimming pool,Close to metro",1–3 months,Too many listings,No,No,Maybe,Weekly,Self,Physical visit,Yes,1,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",16122,Investor,Neutral,"500,000–1,000,000",411537,Villa/Townhouse,Dubai Marina,Other,"Agents,Property portals",Very important,"Community amenities,Mortgage eligibility","Parking,Swimming pool,Close to metro",1–3 months,Lack of analytics/data,No,No,No,Weekly,Family,Physical visit,Yes,3,Maybe
25-34,Expat – Arab,Employed,"10,000–20,000",16046,Renter,Unlikely,"500,000–1,000,000",503066,Apartment,Dubai Marina,Rental income,"Property portals,Company recommendations,Social media",Very important,"Price per sq.ft,Mortgage eligibility",Shopping mall,2–4 weeks,Other,No,No,Maybe,Monthly,Friends,Online photos only,Maybe,3,No
25-34,Expat – Western,Business owner,"10,000–20,000",14652,Renter,Likely,"1,000,000–2,000,000",1209293,Apartment,"Arabian Ranches,Jumeirah Village Circle,Palm Jumeirah",Self-use,Property portals,Somewhat important,"Location,Resale value,Community amenities","Swimming pool,Shopping mall,Parking,Security",1–3 months,"Lack of analytics/data,Not enough info on returns",No,Somewhat,Maybe,Monthly,Self,Physical visit,Yes,3,Yes
25-34,GCC National,Employed,"Below 10,000",6102,Renter,Likely,"500,000–1,000,000",673688,Apartment,"Business Bay,Downtown Dubai,Jumeirah Village Circle",Rental income,Property portals,Somewhat important,"Rental yield,Location",Swimming pool,1–3 months,"Lack of analytics/data,Poor agent response",No,Somewhat,Yes,Daily,Self,Physical visit,No,3,Maybe
35-44,Expat – Asian,Homemaker,"20,000–40,000",23246,Renter,Unlikely,"500,000–1,000,000",586448,Villa/Townhouse,Other,Rental income,"Property portals,Friends/Family",Very important,"Resale value,Price per sq.ft","Parking,Gym,Shopping mall",1–2 weeks,Not enough info on returns,No,No,Yes,Monthly,Family,Agent video call,Maybe,1,Maybe
55+,Expat – Asian,Business owner,"20,000–40,000",32019,Investor,Very unlikely,"500,000–1,000,000",717776,Apartment,"Jumeirah Village Circle,Palm Jumeirah",Rental income,"Company recommendations,Agents",Neutral,"Price per sq.ft,Community amenities","Close to metro,Parking",2–4 weeks,Not enough info on returns,Yes,No,No,Weekly,Family,Online photos only,Yes,1,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",35371,Investor,Unlikely,"2,000,000–5,000,000",1421936,Apartment,Business Bay,Rental income,"Social media,Friends/Family",Somewhat important,"Rental yield,Resale value","School nearby,Gym,Swimming pool",1–2 weeks,"Fake listings,Poor agent response,Too many listings",Yes,No,Yes,Never,Family,Physical visit,Yes,3,Yes
25-34,Expat – Arab,Homemaker,"60,000+",104245,Other,Neutral,"Below 500,000",222475,Commercial,"Jumeirah Village Circle,Other,Dubai Marina",Rental income,Property portals,Very important,"Other,Community amenities","Other,Gym,Shopping mall",1–3 months,Not enough info on returns,No,Somewhat,Yes,Weekly,Self,Virtual tour,No,4,Yes
25-34,Expat – Asian,Retired,"10,000–20,000",15241,Renter,Neutral,"1,000,000–2,000,000",1315967,Commercial,"Jumeirah Village Circle,Arabian Ranches,Dubai Marina",Self-use,"Friends/Family,Social media,Agents",Very important,"Rental yield,Mortgage eligibility","Gym,Security",1–3 months,Poor agent response,No,No,Yes,Daily,Friends,Online photos only,Maybe,4,Yes
25-34,Expat – Western,Employed,"40,000–60,000",50777,Renter,Very unlikely,"500,000–1,000,000",771308,Villa/Townhouse,Arabian Ranches,Self-use,"Company recommendations,Agents,Friends/Family",Neutral,"Developer reputation,Mortgage eligibility,Location","Parking,Gym",More than 3 months,"Lack of analytics/data,Other",No,Somewhat,Maybe,Monthly,Self,Agent video call,Yes,4,Maybe
25-34,Expat – Asian,Student,"10,000–20,000",13617,Investor,Unlikely,"Below 500,000",205833,Commercial,"Palm Jumeirah,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,"Agents,Other,Friends/Family",Not at all important,"Mortgage eligibility,Resale value,Location","School nearby,Parking,Swimming pool",1–3 months,"Too many listings,Poor agent response",No,No,Maybe,Weekly,Social media influencers,Physical visit,No,3,Maybe
18-24,Expat – Asian,Employed,"20,000–40,000",23151,First-time buyer,Likely,"2,000,000–5,000,000",4567220,Apartment,"Arabian Ranches,Downtown Dubai",Self-use,"Property portals,Friends/Family,Company recommendations",Somewhat important,"Resale value,Developer reputation",Parking,1–2 weeks,"Poor agent response,Fake listings",No,No,No,Rarely,Self,Virtual tour,No,2,Maybe
35-44,Expat – Arab,Self-employed,"40,000–60,000",49415,First-time buyer,Unlikely,"Below 500,000",313307,Land,Other,Rental income,"Property portals,Agents",Somewhat important,"Community amenities,Rental yield","Close to metro,Swimming pool",2–4 weeks,"Lack of analytics/data,Fake listings,Other",No,Somewhat,Maybe,Daily,Self,Physical visit,Yes,3,Maybe
25-34,Expat – Asian,Business owner,"10,000–20,000",16754,First-time buyer,Unlikely,"Below 500,000",410751,Villa/Townhouse,Palm Jumeirah,Self-use,"Property portals,Company recommendations",Not at all important,"Location,Mortgage eligibility","Gym,Swimming pool",2–4 weeks,"Poor agent response,Confusing legal process,Lack of analytics/data",No,No,No,Never,Self,Agent video call,Yes,4,No
35-44,Expat – Asian,Student,"60,000+",89623,Renter,Unlikely,"500,000–1,000,000",695022,Apartment,Dubai Marina,Rental income,Property portals,Neutral,"Location,Community amenities,Developer reputation","Swimming pool,Close to metro,Gym,Shopping mall",2–4 weeks,"Not enough info on returns,Too many listings",No,Somewhat,No,Weekly,Online reviews,Physical visit,Maybe,3,No
25-34,Expat – Arab,Employed,"10,000–20,000",17050,Agent,Unlikely,"500,000–1,000,000",735704,Apartment,Other,Self-use,"Property portals,Social media,Agents",Somewhat important,"Location,Community amenities,Rental yield","Close to metro,Parking,Gym,Security",1–2 weeks,"Too many listings,Fake listings",Yes,No,No,Rarely,Family,Agent video call,No,4,Maybe
35-44,Expat – Asian,Employed,"60,000+",80230,First-time buyer,Very likely,"Below 500,000",281119,Villa/Townhouse,"Business Bay,Palm Jumeirah,Other",Flip/Resell,"Agents,Social media",Somewhat important,"Price per sq.ft,Location,Mortgage eligibility","Security,Parking,Gym,School nearby",1–3 months,"Lack of analytics/data,Too many listings,Not enough info on returns",No,No,No,Weekly,Self,Online photos only,Yes,3,No
25-34,Expat – Arab,Employed,"10,000–20,000",16257,First-time buyer,Likely,"500,000–1,000,000",669361,Other,Dubai Marina,Self-use,"Other,Property portals",Somewhat important,"Developer reputation,Community amenities",Gym,2–4 weeks,"Too many listings,Other,Fake listings",No,No,No,Never,Agent,Physical visit,Yes,1,Yes
18-24,Expat – Asian,Employed,"40,000–60,000",53637,First-time buyer,Unlikely,"500,000–1,000,000",790529,Apartment,"Arabian Ranches,Business Bay,Downtown Dubai",Rental income,"Social media,Property portals",Very important,"Community amenities,Location,Resale value","Swimming pool,Parking",2–4 weeks,"Lack of analytics/data,Other,Not enough info on returns",Yes,No,Maybe,Weekly,Family,Virtual tour,Maybe,4,Maybe
25-34,UAE National,Employed,"10,000–20,000",12806,First-time buyer,Very likely,"Below 500,000",353447,Apartment,"Business Bay,Jumeirah Village Circle",Self-use,"Social media,Agents",Very important,"Price per sq.ft,Location,Mortgage eligibility","Parking,Gym",1–3 months,Fake listings,No,Somewhat,No,Daily,Family,Agent video call,Yes,4,Yes
25-34,GCC National,Employed,"10,000–20,000",16063,First-time buyer,Likely,"500,000–1,000,000",262820,Villa/Townhouse,"Business Bay,Dubai Marina",Self-use,"Friends/Family,Social media",Very important,"Location,Developer reputation,Other",Parking,1–2 weeks,"Fake listings,Poor agent response,Lack of analytics/data",No,Somewhat,No,Weekly,Self,Physical visit,No,4,No
25-34,Expat – Asian,Employed,"20,000–40,000",28071,Other,Likely,"1,000,000–2,000,000",416289,Apartment,"Palm Jumeirah,Dubai Marina",Self-use,Property portals,Somewhat important,"Resale value,Community amenities","Parking,Close to metro,Gym",1–3 months,Fake listings,No,No,Maybe,Monthly,Self,Online photos only,No,3,No
35-44,Expat – Arab,Student,"Below 10,000",7213,First-time buyer,Very likely,"2,000,000–5,000,000",3227335,Apartment,"Palm Jumeirah,Jumeirah Village Circle,Other",Self-use,"Property portals,Company recommendations,Agents",Neutral,"Community amenities,Rental yield,Price per sq.ft",Close to metro,1–3 months,Not enough info on returns,No,No,No,Weekly,Self,Physical visit,Maybe,3,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",16735,First-time buyer,Unlikely,"500,000–1,000,000",718319,Villa/Townhouse,"Dubai Marina,Palm Jumeirah",Self-use,Property portals,Somewhat important,"Price per sq.ft,Mortgage eligibility,Community amenities","Gym,Parking,Close to metro,Other",2–4 weeks,"Fake listings,Too many listings",No,Somewhat,Yes,Weekly,Family,Physical visit,Maybe,5,No
25-34,Expat – Asian,Retired,"Below 10,000",10328,First-time buyer,Very likely,"500,000–1,000,000",811742,Apartment,"Business Bay,Palm Jumeirah",Self-use,Property portals,Somewhat important,"Price per sq.ft,Resale value,Community amenities","Gym,Parking,Close to metro,Shopping mall",1–2 weeks,"Poor agent response,Fake listings,Lack of analytics/data",Yes,Somewhat,No,Weekly,Agent,Physical visit,Maybe,4,No
25-34,Expat – Western,Employed,"10,000–20,000",13605,Agent,Neutral,"500,000–1,000,000",986103,Other,"Jumeirah Village Circle,Arabian Ranches,Palm Jumeirah",Flip/Resell,Property portals,Somewhat important,"Resale value,Community amenities","Gym,Close to metro,Parking",2–4 weeks,Poor agent response,No,Somewhat,No,Monthly,Friends,Agent video call,Yes,2,No
25-34,Expat – Asian,Employed,"10,000–20,000",16477,Investor,Very unlikely,"500,000–1,000,000",783785,Villa/Townhouse,"Business Bay,Arabian Ranches,Other",Self-use,Social media,Somewhat important,"Price per sq.ft,Resale value","Swimming pool,Gym,School nearby",1–3 months,Confusing legal process,No,No,Yes,Monthly,Self,Virtual tour,Maybe,3,Yes
35-44,Expat – Western,Employed,"20,000–40,000",29510,Investor,Likely,"1,000,000–2,000,000",1249816,Apartment,"Palm Jumeirah,Business Bay",Self-use,"Social media,Property portals",Somewhat important,"Resale value,Price per sq.ft","Swimming pool,Close to metro,Parking",More than 3 months,"Poor agent response,Fake listings,Lack of analytics/data",No,No,Yes,Monthly,Self,Virtual tour,Maybe,3,Maybe
25-34,UAE National,Self-employed,"20,000–40,000",25358,Investor,Neutral,"1,000,000–2,000,000",1515774,Villa/Townhouse,Jumeirah Village Circle,Self-use,Company recommendations,Very important,"Price per sq.ft,Resale value,Location","Close to metro,Security",1–3 months,"Fake listings,Too many listings",Yes,Somewhat,No,Weekly,Family,Virtual tour,Maybe,3,Yes
45-54,Expat – Arab,Self-employed,"60,000+",82521,Renter,Likely,"5,000,000+",11349833,Apartment,Arabian Ranches,Rental income,"Property portals,Social media,Company recommendations",Somewhat important,"Community amenities,Location,Rental yield","Shopping mall,Other,Parking,Swimming pool",2–4 weeks,"Too many listings,Fake listings",No,No,Maybe,Daily,Online reviews,Physical visit,No,2,No
55+,Expat – Arab,Employed,"40,000–60,000",45899,Investor,Very likely,"2,000,000–5,000,000",2749005,Other,"Business Bay,Downtown Dubai",Vacation home,"Property portals,Agents",Neutral,"Location,Community amenities","Security,Gym,Parking",1–3 months,Other,Yes,Somewhat,No,Daily,Family,Physical visit,No,4,Yes
25-34,Expat – Arab,Self-employed,"10,000–20,000",17556,Renter,Neutral,"500,000–1,000,000",207245,Commercial,"Dubai Marina,Arabian Ranches",Self-use,"Agents,Friends/Family,Social media",Somewhat important,"Community amenities,Resale value,Location","Gym,Shopping mall,Parking,School nearby",1–3 months,"Confusing legal process,Fake listings,Too many listings",Yes,No,Maybe,Daily,Family,Online photos only,No,5,Maybe
25-34,GCC National,Self-employed,"Below 10,000",9053,Renter,Likely,"2,000,000–5,000,000",3140377,Apartment,"Downtown Dubai,Palm Jumeirah",Rental income,"Property portals,Friends/Family",Not at all important,"Rental yield,Price per sq.ft","Close to metro,Shopping mall",1–2 weeks,Poor agent response,No,No,No,Weekly,Agent,Online photos only,Yes,5,Maybe
45-54,Expat – Asian,Self-employed,"10,000–20,000",15882,First-time buyer,Very likely,"1,000,000–2,000,000",1264342,Apartment,"Downtown Dubai,Jumeirah Village Circle",Vacation home,Agents,Very important,"Price per sq.ft,Developer reputation","Parking,School nearby,Swimming pool",1–3 months,"Too many listings,Fake listings",No,No,Yes,Monthly,Family,Virtual tour,No,3,Yes
18-24,UAE National,Employed,"40,000–60,000",42700,Other,Very unlikely,"500,000–1,000,000",2071352,Apartment,Downtown Dubai,Rental income,Property portals,Very important,"Developer reputation,Resale value,Community amenities","Security,School nearby,Swimming pool",1–3 months,Lack of analytics/data,No,Somewhat,Maybe,Monthly,Self,Physical visit,Yes,2,Maybe
35-44,Expat – Asian,Homemaker,"20,000–40,000",27246,Renter,Likely,"Below 500,000",347858,Other,"Dubai Marina,Palm Jumeirah",Self-use,Friends/Family,Very important,"Rental yield,Price per sq.ft,Community amenities","Security,School nearby",1–3 months,"Poor agent response,Lack of analytics/data",Yes,No,Yes,Daily,Friends,Online photos only,Maybe,4,Maybe
25-34,Expat – Asian,Employed,"40,000–60,000",45294,Renter,Likely,"500,000–1,000,000",687314,Villa/Townhouse,"Jumeirah Village Circle,Other",Flip/Resell,"Property portals,Agents",Somewhat important,"Developer reputation,Price per sq.ft,Other","Close to metro,Other,Swimming pool",Less than 1 week,Poor agent response,No,Somewhat,Maybe,Monthly,Family,Physical visit,Maybe,5,Maybe
25-34,UAE National,Self-employed,"10,000–20,000",17384,Renter,Neutral,"Below 500,000",401982,Land,"Palm Jumeirah,Downtown Dubai,Jumeirah Village Circle",Self-use,"Friends/Family,Property portals,Agents",Very important,"Price per sq.ft,Mortgage eligibility,Developer reputation","Swimming pool,Shopping mall",1–3 months,Confusing legal process,Yes,No,Maybe,Weekly,Family,Agent video call,No,4,Maybe
55+,Expat – Asian,Employed,"20,000–40,000",35745,First-time buyer,Neutral,"1,000,000–2,000,000",1282826,Commercial,Arabian Ranches,Rental income,"Friends/Family,Agents,Property portals",Very important,"Mortgage eligibility,Location","Security,Swimming pool,Close to metro",1–2 weeks,"Too many listings,Lack of analytics/data",No,Somewhat,No,Daily,Online reviews,Agent video call,Yes,4,Maybe
35-44,Expat – Asian,Employed,"20,000–40,000",21187,Agent,Likely,"1,000,000–2,000,000",1106687,Apartment,"Dubai Marina,Jumeirah Village Circle",Flip/Resell,"Property portals,Agents",Somewhat important,"Community amenities,Developer reputation","Swimming pool,Parking",1–3 months,"Poor agent response,Not enough info on returns,Too many listings",Yes,Yes,No,Rarely,Self,Virtual tour,Yes,5,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",16193,First-time buyer,Very likely,"Below 500,000",376753,Apartment,Downtown Dubai,Rental income,"Friends/Family,Company recommendations,Agents",Neutral,"Rental yield,Resale value","Security,Close to metro,Shopping mall",1–3 months,Poor agent response,No,No,Yes,Monthly,Family,Physical visit,No,3,Maybe
45-54,Expat – Asian,Employed,"10,000–20,000",14336,Renter,Very likely,"500,000–1,000,000",1007653,Apartment,"Palm Jumeirah,Business Bay,Arabian Ranches",Self-use,"Property portals,Friends/Family,Company recommendations",Not very important,"Price per sq.ft,Location","Swimming pool,Parking",More than 3 months,Other,No,No,No,Rarely,Online reviews,Physical visit,Maybe,3,No
